,answerPassageId,createdAt,answerPassageText,authorUID,question,corpusVersion,language
16274,86460-4,2024-05-02 11:48:12.974861+00:00,"Clases de crianza: Muchos padres primerizos nunca cuidaron a un recién nacido. Algunos hospitales, centros educativos comunitarios y centros de talleres ofrecen clases de cuidado de bebés. Estas clases cubren lo básico como cambiarle los pañales, alimentar y bañar al recién nacido. También aprenderás estos conocimientos básicos en el hospital antes de que te den de alta.

Continúe leyendo aquí: https://espanol.womenshealth.gov/pregnancy/getting-ready-baby/birthing-breastfeeding-and-parenting-classes",lorena-trial,¿Cuáles son algunas prácticas comunes de cuidado del recién nacido?,v0.1,es
16277,101795-18,2024-05-02 11:45:33.842213+00:00,"Mareos. Los mareos durante el embarazo son síntomas comunes, que pueden producirse por:

Continúe leyendo aquí: https://myhealth.ucsd.edu/Spanish/RelatedItems/85,P04305",lorena-trial,¿Cuáles son algunas molestias comunes durante el embarazo?,v0.1,es
16289,7997-115,2023-06-13 14:31:07.322920+00:00,"Dele alimentos sólidos si solía comerlos. Si su hijo tiene más edad, ofrézcale galletas, pan tostado, caldos, sopas suaves, puré de papas, arroz y pan. Evite darle alimentos ricos en fibras, como frijoles (habichuelas), y alimentos con mucho azúcar, como caramelos o helados.

source: https://espanol.kaiserpermanente.org/es/southern-california/health-wellness/health-encyclopedia/he.vomt3",l3eCwZbbUNTonTWXrUayZ2no5C93,Que sólidos le puedo dar a mi hijo de dos años,v0.1,es
16309,121064-6,2024-06-15 10:18:23.899511+00:00,"Niño que comienza a caminar (niño pequeño): 1 a 3 años de edad

Continúe leyendo aquí: https://medlineplus.gov/spanish/ency/article/002002.htm",l3eCwZbbUNTonTWXrUayZ2no5C93,Es normal que mi bebe de un año aún no camine?,v0.1,es
16319,43295-12,2024-05-02 11:47:07.110726+00:00,"Semana 11: La mayoría de las mujeres que tienen un peso saludable deben ganar de 25 to 35 libras (entre 11,33 y 15,87 kg) durante el embarazo. Pregunte al profesional médico que la atiende cuánto peso debería ganar usted.

Continúe leyendo aquí: https://kidshealth.org/es/parents/momandbaby-slideshow-es.html",lorena-trial,¿Cuánto peso debo ganar durante el embarazo?,v0.1,es
16328,269-18,2023-05-17 10:21:53.313551+00:00,"En algunos casos, la salud de la madre puede afectar su posibilidad de amamantar al bebé. Por ejemplo, las madres que están haciendo quimioterapia para el cáncer y las que están infectadas por el virus de la inmunodeficiencia humana (VIH, el virus que causa el SIDA) no deben amamantar.

source: https://kidshealth.org/es/parents/feednewborn.html",l3eCwZbbUNTonTWXrUayZ2no5C93,Que puedo comer para que bebe sea fuerte para que no se enferme estoy dando de mamar,v0.1,es
16335,39490-40,2024-05-02 11:46:31.720345+00:00,"Nacimiento por cesárea: Una operación cesárea es el tipo de parto de un bebé a través de un corte (incisión) en el abdomen y en el útero de la madre. Suele llamarse cesárea. En la mayoría de los casos, una mujer puede estar despierta durante el parto y estar con el recién nacido poco tiempo después.

Continúe leyendo aquí: https://espanol.kaiserpermanente.org/es/oregon-washington/health-wellness/health-encyclopedia/he.tn9759",lorena-trial,¿Cuál es la diferencia entre un parto natural y una cesárea?,v0.1,es
16353,43409-22,2024-05-01 11:42:08.562424+00:00,"Comenzar a darle alimentos sólidos al bebé: Sepa si su bebé está listo para los alimentos sólidos y, de ser así, qué alimentos darle, cómo dárselos y cuáles evitar.

Continúe leyendo aquí: https://kidshealth.org/es/parents/feed47m.html",l3eCwZbbUNTonTWXrUayZ2no5C93,Le puedo dar sólidos a mi bebe,v0.1,es
16365,46010-5,2024-05-02 11:42:29.846189+00:00,"¿Cuáles son las señales de que se está acercando al comienzo del trabajo de parto: Puede estar cerca de empezar el trabajo de parto si:

Continúe leyendo aquí: https://nacersano.marchofdimes.org/parto-y-nacimiento/contracciones-y-senales-de-parto.aspx",lorena-trial,¿Cuáles son algunas señales de que el parto está comenzando?,v0.1,es
16367,499-1,2023-06-06 18:27:57.069576+00:00,"La palabra “espermicida” describe un montón de cremas, láminas, espumas, geles y supositorios que contienen químicos para inmovilizar al esperma. Te lo metes bien adentro de la vagina, para que bloquee el avance del esperma por el cuello uterino.

source: https://www.bedsider.org/es/birth-control/spermicide",JqIXVmpHhGa9SmYbZpvNasgjlyt2,que es la fiebre,v0.1,es
16375,43409-22,2024-05-02 11:47:41.968307+00:00,"Comenzar a darle alimentos sólidos al bebé: Sepa si su bebé está listo para los alimentos sólidos y, de ser así, qué alimentos darle, cómo dárselos y cuáles evitar.

Continúe leyendo aquí: https://kidshealth.org/es/parents/feed47m.html",lorena-trial,¿Cuáles son algunas formas de presentarle alimentos sólidos a mi bebé?,v0.1,es
16400,43169-0,2024-04-03 13:44:20.436917+00:00,"¿Cuándo puede empezar a comer alimentos sólidos mi bebé: Una amiga empezó a darle a su hijo de 3 meses papillas de arroz y puré de manzana. Mi hijo tiene solo 2 semanas menos que el suyo, y me pregunto si yo también debería empezar a darle sólidos pronto. ¿Cuándo debería comenzar?

Continúe leyendo aquí: https://kidshealth.org/es/parents/solid-foods.html",siG5by4Y2bT2jbzCGhPwucZpten2,cuando le puedo dar sólidos a mi bebé?,v0.1,es
16431,1886-19,2023-05-17 10:12:13.895052+00:00,"Si usó fentanilo durante su embarazo, es importante que los proveedores de atención de salud de su bebé lo sepan para detectar síntomas de NAS.

source: https://mothertobaby.org/es/hojas-informativas/fentanyl/",l3eCwZbbUNTonTWXrUayZ2no5C93,Efectos de fentanilo en un bebe de un año,v0.1,es
16446,183-9,2023-05-06 11:32:56.324811+00:00,"Hable con el médico sobre posibles reacciones a las vacunas y pregunte cuándo debería llamar si surgieran problemas.

source: https://kidshealth.org/es/parents/med12yr.html",l3eCwZbbUNTonTWXrUayZ2no5C93,Es seguro darle medicina a un bebe de un año,v0.1,es
16513,7316-83,2023-06-15 10:10:22.380421+00:00,"Este video muestra los Enfoques de Aprendizaje para bebés. Observe a un niño de 7 meses que está aprendiendo a gatear (video en inglés).

source: https://eclkc.ohs.acf.hhs.gov/es/preparacion-escolar/home-visitors-online-handbook/enfoques-de-aprendizaje",l3eCwZbbUNTonTWXrUayZ2no5C93,A que edad debe un bebe gatear,v0.1,es
16543,835-3,2023-05-11 10:21:00.161871+00:00,"Aunque los niños vienen en todas las formas y tamaños, un niño de 4 a 5 años saludable debería seguir creciendo a un ritmo regular. Para supervisar el desarrollo físico de su hijo, su médico lo medirá y lo pesará en las revisiones regulares, y representará los resultados en una gráfica de crecimiento estándar para hacerle un seguimiento a lo largo del tiempo y comparar sus medidas con las de otros niños de su misma edad y género.

source: https://kidshealth.org/es/parents/growth-4-to-5.html",l3eCwZbbUNTonTWXrUayZ2no5C93,Desarrollar va creciendo bien,v0.1,es
16557,43431-12,2024-05-02 11:48:31.557075+00:00,"Las actividades de vinculación temprana incluyen las siguientes:<br>- participar conjuntamente en el parto y el alumbramiento del bebé.<br>- alimentar al bebé (sea mediante lactancia natural o artificial); a veces, los padres forman un vínculo especial con el bebé al ocuparse de él a media noche, dándole el biberón y cambiándole el pañal.<br>- leerle o cantarle al bebé<br>- bañar al bebé<br>- imitar los movimientos del bebé<br>- imitar los gorjeos, balbuceos y otras vocalizaciones del bebé, sus primeros esfuerzos para comunicarse<br>- utilizar un canguro portabebés frontal durante las actividades cotidianas<br>- dejar que el bebé note con el tacto las diferentes texturas del rostro del padre.

Continúe leyendo aquí: https://kidshealth.org/es/parents/bonding.html",lorena-trial,¿Cuáles son algunas formas de vincularme con mi bebé?,v0.1,es
16558,689-0,2023-05-11 10:42:50.009661+00:00,"Las manchas de nacimiento son manchas en la piel de un bebé que pueden desarrollarse antes del nacimiento o poco tiempo después de este. Las manchas de nacimiento pueden ser planas o elevadas, tener bordes regulares o irregulares y tener distintos tonos de color desde el marrón, tostado negro o azul pálido al rosa, rojo o púrpura.

source: https://kidshealth.org/es/parents/birthmarks.html",l3eCwZbbUNTonTWXrUayZ2no5C93,Es normal que los bebés tengan manchas en la piel,v0.1,es
16596,126750-16,2024-04-08 15:21:56.632959+00:00,"¿Qué otra información de importancia debería saber: Asista a todas las citas con su médico.

Continúe leyendo aquí: https://medlineplus.gov/spanish/druginfo/meds/a691003-es.html",NSU9juqz3XPmOQoubtREH0mMLQa2,Esta,v0.1,es
16706,43169-7,2024-05-02 11:43:35.407974+00:00,"Cuando su bebé se acostumbre a comer su primer alimento, introduzca otros alimentos, como puré de carne, de frutas, de verduras y de legumbres (como las alubias o las lentejas) o el yogur. Pruebe un alimento cada vez y espere unos pocos días antes de probar un alimento nuevo para tener la seguridad de que su bebé no presenta una reacción alérgica.

Continúe leyendo aquí: https://kidshealth.org/es/parents/solid-foods.html",lorena-trial,¿Cuáles son algunos alimentos comunes para introducir primero a mi bebé?,v0.1,es
16711,9648-39,2023-06-13 15:10:12.894866+00:00,"Si la necesita, vacúnese antes de embarazarse. Espere 1 mes después de darse esta vacuna antes de embarazarse.

source: https://nacersano.marchofdimes.org/embarazo/las-vacunas-y-el-embarazo.aspx",l3eCwZbbUNTonTWXrUayZ2no5C93,Que le puedo dar a mi bebe para el dolor después de la vacuna de los dos meses,v0.1,es
16725,607-20,2023-07-16 00:26:24.806102+00:00,"Probar terapia física o un programa de ejercicios en el hogar que el profesional del cuidado de la salud indique para ayudar a estirar la zona. Llevar una bota que reduzca el movimiento del tobillo y el talón.

source: https://kidshealth.org/es/parents/severs-disease.html",OpjggySoKdcl1OHicSNm7MsnbkD3,what do i do if my feet swell,v0.1,es
16726,7802-36,2023-06-08 15:33:57.432461+00:00,"Es posible que tenga menos sensibilidad en sus pies, lo que quiere decir que puede lastimarse los pies sin darse cuenta. Las infecciones comunes por ampollas, uñas encarnadas, cortes pequeños u otros problemas pueden volverse rápidamente más graves cuando tiene diabetes.

source: https://espanol.kaiserpermanente.org/es/southern-california/health-wellness/health-encyclopedia/he.hw34303",l3eCwZbbUNTonTWXrUayZ2no5C93,Es normal que mis pies me duelan si tengo diabetes,v0.1,es
16731,98576-15,2024-05-02 11:42:59.465485+00:00,"Haga una progresión con la textura de los alimentos para que su bebé coma alimentos de mesa cuando cumpla un año.

Continúe leyendo aquí: https://myhealth.ucsd.edu/Spanish/DiseasesConditions/Pediatric/Growth/90,P05345",lorena-trial,¿Cuáles son algunas formas de presentarle a mi bebé diferentes texturas de alimentos?,v0.1,es
16734,45775-2,2024-05-02 11:49:19.450695+00:00,"Aprenda cómo detectar los peligros y hacer que su hogar sea seguro para el bebé. Y por si acaso, haga un plan por si hay una emergencia o prepárese en caso de un desastre.

Continúe leyendo aquí: https://nacersano.marchofdimes.org/bebe/el-medio-ambiente.aspx",lorena-trial,¿Cómo puedo crear un ambiente seguro para mi bebé en casa?,v0.1,es
16745,10433-6,2023-06-13 15:58:34.251676+00:00,"Cuilin Zhang, M.D., Ph.D., M.P.H, jefa interina de la División de Epidemiología del NICHD, se encuentra disponible para recibir comentarios.

source: https://espanol.nichd.nih.gov/noticias/prensa/060221-embarazo-alimentacion-saludable",l3eCwZbbUNTonTWXrUayZ2no5C93,Dieta adecuada para un bebe prematuro,v0.1,es
16779,1473-16,2023-05-17 10:03:15.008789+00:00,"Hable con el médico de su hijo antes de tomar la decisión de darle un remedio a base de plantas medicinales o una dosis superior a la dosis diaria recomendada (DDR) de cualquier vitamina o suplemento.

source: https://kidshealth.org/es/parents/cold.html",JqIXVmpHhGa9SmYbZpvNasgjlyt2,¿Cómo puedo ayudar a mi bebé con un resfriado?,v0.1,es
16801,230-14,2023-05-12 22:22:57.828675+00:00,"es lo que su hijo realmente necesita o quiere y ofrézcaselo. Si su hijo tiene sed o hambre, dele alimentos en una taza o un plato. Si necesita cariño, abrácelo. Y si está aburrido, ¡siéntese a jugar! Mientras separa a su hijo del biberón, intente diluir la leche con agua. Durante los primeros días, llene la mitad con agua y la otra mitad con leche. Después, agregue gradualmente más agua hasta que el biberón solo tenga agua.

source: https://kidshealth.org/es/parents/no-bottles.html",V88m8gxhi4aKTeNfKnw8fd1w0n53,Splitting milk,v0.1,es
16821,830-32,2024-05-02 11:46:39.402651+00:00,"¿Cómo sé si mi bebé está recibiendo suficiente leche: Hay muchas señales que puedes observar para saber si tu bebé recibe suficiente leche.

Continúe leyendo aquí: https://espanol.womenshealth.gov/breastfeeding/learning-breastfeed/making-breastmilk",lorena-trial,¿Cuáles son algunas señales de que mi bebé está recibiendo suficiente leche?,v0.1,es
16855,42736-24,2024-05-02 11:47:51.805318+00:00,"Visiten la biblioteca o la librería y deje que su hijo elija libros para leer en casa. Muchas bibliotecas y librerías disponen de horas de lectura para niños de esta edad. Y deje que su hijo lo vea leyendo para disfrutar. Esta es una forma estupenda de ser un buen modelo de lectura para su hijo.

Continúe leyendo aquí: https://kidshealth.org/es/parents/reading-toddler.html",lorena-trial,¿Cuáles son algunas formas de presentarle a mi bebé la lectura?,v0.1,es
16864,1779-16,2023-05-12 21:53:51.565946+00:00,"La melatonina producida por el cuerpo está presente en la leche materna en cantidades más altas por la noche. Tomar suplementos de melatonina durante la lactancia no ha sido bien estudiado. Asegúrese de hablar con su proveedor de atención de salud acerca de todas sus preguntas sobre la lactancia.

source: https://mothertobaby.org/es/hojas-informativas/melatonina/",V88m8gxhi4aKTeNfKnw8fd1w0n53,Newborn melatonin production,v0.1,es
16865,43432-7,2024-04-10 09:57:03.672472+00:00,"¿Qué puedo hacer si un bebé no para de llorar: Si un bebé a quien está cuidando no para de llorar:

Continúe leyendo aquí: https://kidshealth.org/es/parents/babies-cry.html",LfrdulxiEUWpzj0NSZWpPoaHdR23,Que debo hacer si mi bebé no para de llorar?,v0.1,es
16885,971-24,2023-06-03 11:38:16.271869+00:00,"Aunque le resulte difícil, trate de encontrar una manera de mantener a su hijo activo con algo que sea de su agrado. Intente tener una actitud abierta. Quizá su hijo está interesado en una actividad que no está incluida en las propuestas de la escuela.

source: https://kidshealth.org/es/parents/hate-sports.html",l3eCwZbbUNTonTWXrUayZ2no5C93,Que actividades son buenas para mi hijo,v0.1,es
16888,87330-11,2024-05-02 11:47:08.582736+00:00,"¿Cómo puedo aliviar las molestias comunes del embarazo: Para las náuseas y los vómitos:

Continúe leyendo aquí: https://www.plannedparenthood.org/es/temas-de-salud/embarazo/atencion-prenatal/que-sucede-en-las-citas-de-atencion-prenatal",lorena-trial,¿Cuáles son algunas molestias comunes durante el embarazo y cómo puedo aliviarlas?,v0.1,es
16902,46219-0,2024-05-02 11:46:50.515020+00:00,"Alimentos sólidos: cómo preparar a tu bebé para comenzar: Incorporar alimentos sólidos es un gran paso para un bebé. Infórmate sobre cuándo y cómo pasar de la leche materna o leche de fórmula a los alimentos sólidos.

Continúe leyendo aquí: https://www.mayoclinic.org/es/healthy-lifestyle/infant-and-toddler-health/in-depth/healthy-baby/art-20046200",lorena-trial,¿Cómo puedo introducir alimentos sólidos a mi bebé?,v0.1,es
16912,9689-8,2023-06-13 15:55:15.615217+00:00,"Los problemas de salud que pueden afectar a los prematuros incluyen:

source: https://nacersano.marchofdimes.org/complicaciones/bebes-prematuros.aspx",l3eCwZbbUNTonTWXrUayZ2no5C93,Que problemas de salud son frecuentes en los bebés prematuros,v0.1,es
16921,2976-0,2024-05-01 20:44:39.518143+00:00,"¿Qué son los patrones del sueño en los recién nacidos: El recién nacido promedio duerme gran parte del día y la noche, despertándose apenas para comer cada algunas horas. Para los padres nuevos, suele ser difícil saber cuánto y con qué frecuencia debería dormir el recién nacido. Lamentablemente, no hay un cronograma fijo al principio, y muchos recién nacidos tienen los días y las noches confundidos: creen que deberían estar despiertos por la noche y dormidos durante el día.

Continúe leyendo aquí: https://www.cincinnatichildrens.org/espanol/temas-de-salud/alpha/s/sleep",lorena-trial,¿Cuáles son algunos patrones de sueño comunes para los recién nacidos?,v0.1,es
16933,98616-15,2024-05-06 14:45:01.784733+00:00,"De 6 a 9 meses: Qué puede hacer como padre o madre:

Continúe leyendo aquí: https://myhealth.ucsd.edu/Spanish/DiseasesConditions/Pediatric/Growth/90,P05347",AelZYirIiKRU36tUn84YHMSPNkE2,What is baby 6,v0.1,es
16979,80-29,2023-05-03 11:19:30.132993+00:00,"Puedes proporcionarle leche materna al bebé incluso cuando no estás con él. La especialista en lactancia materna te puede enseñar a extraerte la leche y a conservarla.

source: https://health.gov/espanol/myhealthfinder/embarazo/consultas-doctor-o-partera/amamanta-tu-bebe-dale-pecho",l3eCwZbbUNTonTWXrUayZ2no5C93,Debo darle leche materna a mi Bebe?,v0.1,es
16983,9949-3,2023-06-28 13:40:39.965369+00:00,"El VIH es el virus que conduce al sida. ""SIDA"" significa síndrome de la inmunodeficiencia adquirida. Es la etapa más grave de la infección por el VIH. La gente con sida contrae enfermedades que el sistema inmunitario normalmente es capaz de combatir, como la neumonía, ciertos tipos de cáncer e infecciones. Puede tardar meses o años para que el VIH se convierta en sida.

source: https://nacersano.marchofdimes.org/embarazo/vih.aspx",WP2OKXjmE1gzxLXdmr7SSQ5HJzy2,Qué es SIDA,v0.1,es
16986,41478-5,2024-05-02 11:42:42.293270+00:00,"¿Cómo puedo crear un vínculo emocional con mi bebé: El vínculo con su bebé se crea durante las primeras horas y días después del nacimiento. La cercanía física puede ayudar a formar un vínculo emocional y ayudar a su bebé a desarrollarse de otras maneras. Otra forma de pensar en la formación de este vínculo afectivo consiste en considerarlo como un ""enamorarse del bebé"". Los niños se desarrollan bien cuando tienen un padre, una madre u otro adulto en su vida que los ama incondicionalmente.

Continúe leyendo aquí: https://kidshealth.org/es/parents/guide-parents.html",lorena-trial,¿Cuáles son algunas formas de crear un vínculo con mi bebé?,v0.1,es
16988,2060-5,2023-05-25 14:08:54.905565+00:00,"Una doula es una entrenadora profesional para partos, quien ofrece apoyo físico y emocional a las mujeres durante el trabajo de parto y alumbramiento. Proporcionan consejos sobre respiración, relajación, movimientos y posiciones. Las doulas también proporcionan apoyo emocional y tranquilidad a las mujeres como también a sus parejas durante el trabajo de parto y el alumbramiento. Las doulas y las parteras normalmente trabajan en equipo durante el parto.

source: https://espanol.womenshealth.gov/pregnancy/youre-pregnant-now-what/prenatal-care-and-tests",WP2OKXjmE1gzxLXdmr7SSQ5HJzy2,Cuál es una doula,v0.1,es
16998,46081-1,2024-05-02 11:45:02.783001+00:00,"Algunos de los logros de su bebé – conocidos como los hitos del desarrollo – incluyen darse vuelta, sentarse, pararse, y posiblemente caminar. Es probable que su corazón se derrita cuando escuche los primeros sonidos, tales como “mama” o “dada”.

Continúe leyendo aquí: https://nacersano.marchofdimes.org/bebe/los-hitos-del-desarrollo-del-bebe.aspx",lorena-trial,¿Cuáles son algunos hitos del desarrollo comunes para los bebés?,v0.1,es
17000,5003-113,2023-07-05 22:57:01.331590+00:00,"Reconozca lo difícil que es tener un niño que no duerme por la noche. Cuando un bebé no duerme los padres no duermen y todos están exhaustos. Recuerde, ¡ninguno de nosotros está en nuestro mejor momento cuando nos sentimos privados de sueño!. Cuando los padres preguntan sobre despertarse por la noche o qué hacer para que su bebé duerma toda la noche, no hay una estrategia que funcione para todas las familias.

source: https://eclkc.ohs.acf.hhs.gov/es/preparacion-escolar/articulo/hablemos-de-la-cultura-del-sueno-y-el-cuidado-infantil",LfrdulxiEUWpzj0NSZWpPoaHdR23,Porque mi bebé no duerme en la noche?,v0.1,es
17016,113-8,2023-05-17 10:20:55.123954+00:00,"La grasa es una parte importante de una dieta saludable. Durante el embarazo, la grasa es necesaria para el crecimiento y el desarrollo del bebé. Escoja grasas saludables (no saturadas) y limite las grasas insanas, como las saturadas y las trans. Entre las grasas saludables, se encuentran el aceite de oliva, el aceite de colza y otros aceites vegetales, los frutos secos, las semillas, el aguacate y los pescados grasos, como el salmón.

source: https://kidshealth.org/es/parents/moms-nutrients.html",l3eCwZbbUNTonTWXrUayZ2no5C93,Que tipo de comida saludable puedo comer que estoy amamantando mi bebe,v0.1,es
17025,232-0,2023-05-02 11:24:36.357661+00:00,"Hasta ahora, dar de comer a su bebé era trabajo de usted. Pero alrededor de los 9 meses, su pequeño empezará a hacer esto solo.

source: https://kidshealth.org/es/parents/finger-foods.html",uzUHMWNCyAN5m0NVRYzzL5OYrQB2,Cuando le puedo dar comida a mi bebé,v0.1,es
17032,9407-7,2023-06-13 14:07:15.020114+00:00,"Contribuir mejora nuestros sentimientos de pertenencia, al proporcionar la base de un aprendizaje continuo y el fortalecimiento de la autoestima. Utilice las siguientes sugerencias todos los días para ayudar a que su hijo sienta que está contribuyendo.

source: https://espanol.kaiserpermanente.org/es/southern-california/health-wellness/health-encyclopedia/he.tk1326",l3eCwZbbUNTonTWXrUayZ2no5C93,Que podría darle para mejorar el crecimiento de mi hijo,v0.1,es
17056,313-4,2023-06-01 01:54:17.133510+00:00,"Cualquier resto de líquido que quede en los pulmones lo tose el bebé o se elimina lentamente al ser absorbido por el torrente sanguíneo y el sistema linfático.

source: https://kidshealth.org/es/parents/ttn.html",LwYfnEgSVVSc8dFcNE1luSiaaJh2,mi bebe esta tosiendo,v0.1,es
17130,261-16,2023-05-16 09:58:18.325280+00:00,"Recuerde que los niños de más de 6 meses deben recibir alimentos sólidos además de leche materna. Después del año, darle al bebé exclusivamente leche materna no le ofrece todos los nutrientes que necesita. Por eso, los alimentos sólidos deben convertirse en una parte habitual de la dieta.

source: https://kidshealth.org/es/parents/weaning.html",l3eCwZbbUNTonTWXrUayZ2no5C93,Que comida le puedo dar a mi bebe de un año,v0.1,es
17165,119067-4,2024-05-01 20:44:37.663268+00:00,"Haz lo siguiente para prepararte para amamantar al bebé:<br>- Habla con tu doctor o matrona (comadrona, partera) sobre el amamantamiento<br>- Haz un plan para cuando el bebé nazca..

Continúe leyendo aquí: https://health.gov/espanol/myhealthfinder/embarazo/consultas-doctor-o-partera/amamanta-tu-bebe",lorena-trial,¿Cómo puedo prepararme para amamantar a mi bebé?,v0.1,es
17176,526-5,2023-06-03 10:09:18.729910+00:00,"A veces, la tiña causa una masa llena de pus conocida como querion, que se puede confundir con el impétigo o la celulitis (infecciones bacterianas). Cuando se infecta el cuero cabelludo, pueden aparecer ganglios linfáticos inflamados en la parte posterior de la cabeza o en el cuello.

source: https://kidshealth.org/es/parents/fungal-ringworm.html",l3eCwZbbUNTonTWXrUayZ2no5C93,Porque se me cae el cabello,v0.1,es
17179,9506-37,2023-06-23 14:34:31.852218+00:00,"La estadía habitual en el hospital después de un parto por cesárea es de alrededor de 3 días. Puede alimentar y atender a su recién nacido a medida que sienta que puede hacerlo. Antes de regresar al hogar, recibirá indicaciones posquirúrgicas, lo que incluye señales de advertencia de complicaciones. La incisión de la cesárea puede demorar 4 semanas o más en sanar, y es común tener dolores ocasionales en la zona durante el primer año después de la cirugía.

source: https://espanol.kaiserpermanente.org/es/southern-california/health-wellness/health-encyclopedia/he.tn8162",fnz9MTNcKvPJHWaZYBlh7hlPr0G3,"""Su bebé nace a través de la abertura y se lo acercan. Luego le suturan y le ofrecen una inyección de oxitocina para ayudar a que su útero se contraiga y reducir la pérdida de sangre. El procedimiento dura de 40 a 50 minutos. Es posible que necesite recuperarse en el hospital durante unos días.
 
  fuente: https://www.nhs.uk/start4life/pregnancy/week-by-week/3rd-trimester/week-36/""",v0.1,es
17212,9371-88,2023-06-07 20:48:34.836690+00:00,"Conoce otras palabras excepto ""mamá"" y ""papá"" ni puede señalar un objeto familiar cuando se le pide a los 12 meses. Dice algunas palabras, parece escuchar cuando usted habla ni señala lo que quiere entre los 15 y 18 meses. Dice 5 o más palabras ni comprende más de 50 palabras a los 18 meses. Habla más de 50 palabras, une dos palabras, nombra o trata de nombrar objetos ni usa palabras para pedir cosas a los 2 años.

source: https://espanol.kaiserpermanente.org/es/southern-california/health-wellness/health-encyclopedia/he.te7089",AelZYirIiKRU36tUn84YHMSPNkE2,Es normal que mi bebe de dos años no hable,v0.1,es
17221,9351-52,2023-07-11 00:07:14.254365+00:00,"La mayoría de los bebés duermen un total de 18 horas al día. Se despiertan por poco tiempo, como mínimo, cada 2 o 3 horas. Siempre debe hacer dormir al bebé boca arriba, no sobre el abdomen. Esto reduce el riesgo del síndrome de muerte infantil súbita (SIDS, por sus siglas en inglés).

source: https://espanol.kaiserpermanente.org/es/southern-california/health-wellness/health-encyclopedia/he.abl1277",JqIXVmpHhGa9SmYbZpvNasgjlyt2,¿Cuánto tiempo debe dormir la siesta mi bebé?,v0.1,es
17299,1982-14,2023-06-26 13:52:12.159950+00:00,"No se han realizado estudios para comprobar si tener culebrilla durante el embarazo puede causar otros problemas relacionados con el mismo, como el parto prematuro (nacimiento antes de la semana 37) o el bajo peso al nacer (peso inferior a 5 libras, 8 onzas al nacer). Sin embargo, no se ha visto que la culebrilla aumente la probabilidad de complicaciones del embarazo.

source: https://mothertobaby.org/es/hojas-informativas/herpes-zoster-culebrilla/",fnz9MTNcKvPJHWaZYBlh7hlPr0G3,Kombucha during pregnancy,v0.1,es
17309,525-16,2023-06-01 15:41:21.477548+00:00,"Los niños que tengan pie de atleta deben secarse los pies con una toalla diferente que el resto del cuerpo. Y, a continuación, deben ponerse los calcetines antes que la ropa interior, para que parte de los hongos que contienen sus pies no acaben en la ropa interior. Usar polvos en el área inguinal todos los días para ayudar a reducir el sudor.

source: https://kidshealth.org/es/parents/jock-itch.html",QbpRA7yqNATq6w1ftOgCWKMptnh2,Que hago si se me hinchan los pies,v0.1,es
17334,45957-32,2024-05-01 10:52:28.312625+00:00,"La displasia renal suele presentarse en un solo riñón. En esos casos, los bebés tienen pocos problemas de salud o ninguno. Sin embargo, si afecta a los dos riñones, tal vez no sobrevivan el embarazo por no haber suficiente líquido amniótico alrededor del bebé y los pulmones pueden estar afectados. Los bebés que sobreviven necesitan diálisis y un trasplante de riñón al poco tiempo de nacer. La diálisis es un tratamiento que filtra la sangre para eliminar del cuerpo los desechos perjudiciales y el exceso de sal y agua.

Continúe leyendo aquí: https://nacersano.marchofdimes.org/complicaciones/defectos-del-tracto-genitourinario.aspx",l3eCwZbbUNTonTWXrUayZ2no5C93,Que ciudades puede tener mi bebe con displaxia renal,v0.1,es
17339,101005-0,2024-05-02 11:48:59.631468+00:00,"¿Cuáles son algunas señales de advertencia de las complicaciones posibles durante el embarazo: Hable con su proveedor de atención médica sobre los signos de advertencia posibles de trabajo de parto prematuro y otras complicaciones del embarazo. Avise a su proveedor de atención médica inmediatamente si presenta algo de lo siguiente durante el embarazo:

Continúe leyendo aquí: https://myhealth.ucsd.edu/Spanish/RelatedItems/85,P04297",lorena-trial,¿Cuáles son algunas señales de advertencia durante el embarazo de las que debo estar consciente?,v0.1,es
17382,204-0,2023-05-06 10:24:10.447806+00:00,"Durante su tercer año de vida, la mayoría de los niños ganan unas 4 libras (1,8 kg) y crecen en torno a 2 a 3 pulgadas (de 5 a 8 centímetros).

source: https://kidshealth.org/es/parents/growth-2-to-3.html",l3eCwZbbUNTonTWXrUayZ2no5C93,Cuanto Debe pesar un bebe de tres años,v0.1,es
17400,30213-18,2023-06-23 14:19:02.639673+00:00,"Unidos en la Fe contra el Tabaco (Faith United Against Tobacco). Estas organizaciones de fe promueven la campaña Consejos activamente. Algunas tienen recursos relacionados con la salud en sus sitios web.

source: https://www.cdc.gov/tobacco/campaign/tips/spanish/socios/organizaciones-religiosas/index.html",fnz9MTNcKvPJHWaZYBlh7hlPr0G3,Focos,v0.1,es
17463,125-0,2023-05-11 10:42:47.621543+00:00,"Durante el embarazo, dormir bien por la noche puede resultar complicado. A medida que el embarazo avanza, es más difícil encontrar una posición cómoda para dormir. Tal vez tenga que levantarse a orinar en el medio de la noche. O se despierte con ardor de estómago.

source: https://kidshealth.org/es/parents/sleeping-during-pregnancy.html",l3eCwZbbUNTonTWXrUayZ2no5C93,Como puede dormir mas durante la noche,v0.1,es
